"LANGUAGE","日本語","Language name (in native language)."
"LANGUAGE_GAME","ゲームの言語を使用","Default selection in language selection menu."
"NOTE_CLOSE","閉じる","Notification button text - closes the notification."
"NOTE_DONTSHOWAGAIN","次回から表示しない","Notification button text - don't show this notification again."
"NO","いいえ","Notification button text - don't perform this action."
"YES","はい","Notification button text - perfom this action."
"PRESS_ANY_KEY","何かキーを押して下さい","Shown when awaiting user input when changing a key setting."
"CONFLICT_DETECTED","MODの競合が検出されました！","Warning message that a mod conflict was detected."
"UNABLE_TO_OPERATE","正常にMODが起動できないため、動作をシャットダウンしました。","Warning message letting the user know that the mod can't work."
"CONFLICTING_MODS","競合するMOD:","Part of the mod conflict warning notification - header for the list of conflicting mods."
"HARMONY_ERROR","MODで必要なHarmony2のパッチ動作で、適用と完了ができませんでした。","Warning message that a patching problem was detected, and the mod can't operate."
"HARMONY_PROBLEM_CAUSES","古いMODや壊れたMODが、Harmony2の正常な動作を阻害しています。","Header for list of possible causes of Harmony errors."
"HARMONY_NOT_INSTALLED","MODの依存関係で必要なHarmony2が、インストール/有効化されていません。","Possible cause of Harmony error - Harmony not installed."
"HARMONY_MOD_ERROR","古いMODや壊れたMODが、Harmony2の正常な動作を阻害しています。","Possible cause of Harmony error - a broken mod (not this one) can cause things to stop working."
"HARMONY_MOD_CONFLICT","競合する他のMODが、Harmony2のパッチを重複して適用しようとしています。","Possible cause of Harmony error - two mods trying to patch the same thing at once."
"MOD_DESCRIPTION","並列して配置・スタックしたネットワークを簡単に敷設することが出来ます。"
"FAILED","エラー"
"MAJOR_GAME_UPDATE","ゲームのメジャーアップデートを検出して、MODは無効化されています。"
"CHOOSE_LANGUAGE","言語を選択"
"BETA_WARNING_TEXT","!!! 警告 !!!
あなたがサブスクしたMODはβ版で、何らかのバグが存在する可能性があります。
新機能を使いたいユーザー以外は、ワークショップにある安定版を使用して下さい。"
"GROUP_KEY_BINDINGS_NAME","キーバインド"
"GROUP_BUTTONS_NAME","ヘルプが必要？"
"SELECT_KEYMAPPING_TOGGLE_BUTTON_LABEL","MODウィンドウを開閉"
"SELECT_KEYMAPPING_INCREASE_HORIZONTAL_OFFSET_LABEL","水平オフセットを増加"
"SELECT_KEYMAPPING_DECREASE_HORIZONTAL_OFFSET_LABEL","水平オフセットを減少"
"SELECT_KEYMAPPING_INCREASE_VERTICAL_OFFSET_LABEL","垂直オフセットを増加"
"SELECT_KEYMAPPING_DECREASE_VERTICAL_OFFSET_LABEL","垂直オフセットを減少"
"BUTTON_RESET_TOOL_WINDOW_POSITION_LABEL","ウィンドウの位置をリセット"
"BUTTON_RESET_TOOL_BUTTON_POSITION_LABEL","ボタンの位置をリセット"
"CHECKBOX_RENDER_DEBUG_LABEL","デバッグ用オーバーレイの描画"
"TOOLTIP_TOOL_TOGGLE_BUTTON","Parallel Road Tool"
"TOOLTIP_SAVE_BUTTON","プリセットをセーブ"
"TOOLTIP_LOAD_BUTTON","プリセットをロード"
"TOOLTIP_SNAPPING_TOGGLE_BUTTON","既存のノードにスナップ"
