"LANGUAGE","Русский","Language name (in native language)."
"LANGUAGE_GAME","Исп. язык игры","Default selection in language selection menu."
"NOTE_CLOSE","Закрыть","Notification button text - closes the notification."
"NOTE_DONTSHOWAGAIN","Больше не показывать","Notification button text - don't show this notification again."
"NO","Нет","Notification button text - don't perform this action."
"YES","Да","Notification button text - perfom this action."
"PRESS_ANY_KEY","Нажмите любую клавишу","Shown when awaiting user input when changing a key setting."
"CONFLICT_DETECTED","Обнаружен конфликт модов!","Warning message that a mod conflict was detected."
"UNABLE_TO_OPERATE","Это означает, что мод не может работать и отключился.","Warning message letting the user know that the mod can't work."
"CONFLICTING_MODS","Конфликтующие моды:","Part of the mod conflict warning notification - header for the list of conflicting mods."
"HARMONY_ERROR","Моду не удалось правильно применить необходимые исправления Harmony.","Warning message that a patching problem was detected, and the mod can't operate."
"HARMONY_PROBLEM_CAUSES","Возможные причины этой проблемы:","Header for list of possible causes of Harmony errors."
"HARMONY_NOT_INSTALLED","Требуемая модификация Harmony 2 не установлена","Possible cause of Harmony error - Harmony not installed."
"HARMONY_MOD_ERROR","Старый и/или сломанный мод мешает правильной работе Harmony 2","Possible cause of Harmony error - a broken mod (not this one) can cause things to stop working."
"HARMONY_MOD_CONFLICT","Другой мод, возможно, пытается применить конфликтующие исправления Harmony","Possible cause of Harmony error - two mods trying to patch the same thing at once."
"MOD_DESCRIPTION","Помогает вам легко рисовать параллельные и многоуровневые дороги"
"FAILED","ошибка"
"MAJOR_GAME_UPDATE","Обнаружено большое обновление игры. Сейчас мод неактивен."
"CHOOSE_LANGUAGE","Выбор языка"
"BETA_WARNING_TEXT","!!! ВНИМАНИЕ !!!
Вы используете БЕТА-версию, которая может содержать ошибки.
Если вы не хотите тестировать новые функции, перейдите на стабильную версию в Workshop."
"GROUP_KEY_BINDINGS_NAME","Комбинации клавиш"
"GROUP_BUTTONS_NAME","Требуется помощь?"
"SELECT_KEYMAPPING_TOGGLE_BUTTON_LABEL","Открыть/закрыть окно мода"
"SELECT_KEYMAPPING_INCREASE_HORIZONTAL_OFFSET_LABEL","Увеличить смещение по горизонтали"
"SELECT_KEYMAPPING_DECREASE_HORIZONTAL_OFFSET_LABEL","Уменьшить смещение по горизонтали"
"SELECT_KEYMAPPING_INCREASE_VERTICAL_OFFSET_LABEL","Увеличить смещение по вертикали"
"SELECT_KEYMAPPING_DECREASE_VERTICAL_OFFSET_LABEL","Увеличить смещение по вертикали"
"BUTTON_RESET_TOOL_WINDOW_POSITION_LABEL","Восстановить расположение окна"
"BUTTON_RESET_TOOL_BUTTON_POSITION_LABEL","Восстановить расположение кнопки"
"CHECKBOX_RENDER_DEBUG_LABEL","отображать слои отладки"
"TOOLTIP_TOOL_TOGGLE_BUTTON","Инструмент «Параллельная дорога»"
"TOOLTIP_SAVE_BUTTON","Сохранить шаблон"
"TOOLTIP_LOAD_BUTTON","Загрузить шаблон"
"TOOLTIP_SNAPPING_TOGGLE_BUTTON","Привязать к существующим узлам"
"TOOLTIP_AUTO_WIDTH_TOGGLE_BUTTON","Настройка горизонтальных смещений при изменении основной дороги/конструкции"
"TOOLTIP_ANGLE_COMPENSATION_TOGGLE_BUTTON","Угол компенсации"
"TOOLTIP_SORT_NETWORKS_BUTTON","Сортировать дороги/конструкции по горизонтальному расстоянию (по возрастанию)"
"TOOLTIP_ADD_NETWORK_BUTTON","Добавить дорогу/конструкцию"
"TOOLTIP_REMOVE_NETWORK_BUTTON","Удалить дорогу/конструкцию"
"TOOLTIP_INVERT_DIRECTION_TOGGLE_BUTTON","Обратное направление"
"TOOLTIP_HORIZONTAL_OFFSET_TEXT","Горизонтальное расстояние от предыдущего сегмента
Прокрутите, чтобы изменить
CTRL: x0.1
SHIFT: x10"
"TOOLTIP_VERTICAL_OFFSET_TEXT","Вертикальное расстояние от предыдущего сегмента
Прокрутите, чтобы изменить
CTRL: x0.1
SHIFT: x10"
"LABEL_SAVE_PRESET_WINDOW_TITLE","Сохранить шаблон"
"LABEL_LOAD_PRESET_WINDOW_TITLE","Загрузить шаблон"
"LABEL_SAVE_PRESET_FAILED_TITLE","Не удалось сохранить шаблон"
"LABEL_SAVE_PRESET_FAILED_MESSAGE","Ошибка при сохранении шаблона в {0}:\r\n{1}"
"LABEL_OVERWRITE_PRESET_TITLE","Заменить"
"LABEL_OVERWRITE_PRESET_MESSAGE","Файл '{0}' уже существует, заменить его?"
"LABEL_DELETE_CONFIRMATION_PRESET_TITLE","Удалить"
"LABEL_DELETE_CONFIRMATION_PRESET_MESSAGE","Вы уверены, что хотите удалить '{0}'?"
"LABEL_DELETE_PRESET_BUTTON_TITLE","Удалить шаблон"
"LABEL_DELETE_PRESET_FAILED_TITLE","Не удалось удалить шаблон"
"LABEL_DELETE_PRESET_FAILED_MESSAGE","Ошибка при удалении шаблона из {0}:\r\n{1}"
"LABEL_LOAD_PRESET_BUTTON_TITLE","Загрузить шаблон"
"LABEL_LOAD_PRESET_FAILED_TITLE","Не удалось сохранить шаблон"
"LABEL_LOAD_PRESET_FAILED_MESSAGE","Ошибка при сохранении шаблона в {0}:\r\n{1}"
"PRT_UPD_30_0","Ядро мода перенесено в Harmony для лучшей совместимости с другими модами"
"PRT_UPD_30_1","Полностью переписана основная логика/движок мода"
"PRT_UPD_30_2","Полностью переработанный и более быстрый пользовательский интерфейс"
"PRT_UPD_30_3","Улучшена логика, используемая для включения/отключения мода для более последовательного поведения"
